name,lat,lng,address
GREENWICH V,1.38739539397015,103.869135978173,1 SELETAR ROAD GREENWICH V SINGAPORE 807011
THE RAIL MALL,1.3578110348449,103.768080632959,384 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678042
HILLV2,1.36267450828024,103.76417292006,4 HILLVIEW RISE HILLV2 SINGAPORE 667979
BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406,144 UPPER BUKIT TIMAH ROAD BEAUTY WORLD CENTRE SINGAPORE 588177
BEAUTY WORLD PLAZA,1.34180018619223,103.776259359854,140 UPPER BUKIT TIMAH ROAD BEAUTY WORLD PLAZA SINGAPORE 588176
BUKIT TIMAH PLAZA,1.33875930729064,103.778600077834,1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996
SIXTH AVENUE CENTRE,1.33143049540259,103.79500253329,805 BUKIT TIMAH ROAD SIXTH AVENUE CENTRE SINGAPORE 279883
CLUNY COURT,1.32257316934913,103.814245542255,501 BUKIT TIMAH ROAD CLUNY COURT SINGAPORE 259760
THE STAR VISTA,1.30697044038323,103.788420274115,1 VISTA EXCHANGE GREEN THE STAR VISTA
ROCHESTER MALL,1.30540765569962,103.788446680148,35 ROCHESTER DRIVE ROCHESTER MALL
HOLLAND ROAD SHOPPING CENTRE,1.31027747574118,103.795371163103,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967
CITY SQUARE MALL,1.31142103107683,103.856624019991,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539
MACPHERSON MALL,1.33372210930312,103.887530827719,601 MACPHERSON ROAD GRANTRAL MALL @ MACPHERSON
UNITED SQUARE,1.31719450988559,103.843611443038,101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591
VELOCITY @ NOVENA SQUARE,1.31929542501907,103.844191353077,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE
SQUARE 2,1.27822949964567,103.850812513482,12 MARINA VIEW ASIA SQUARE TOWER 2 SINGAPORE 018961
GOLDHILL PLAZA,1.31782919793186,103.842889167307,1 GOLDHILL PLAZA GOLDHILL PLAZA SINGAPORE 308899
BALESTIER PLAZA,1.32572472557093,103.850395374025,400 BALESTIER ROAD BALESTIER PLAZA SINGAPORE 329802
SHAW PLAZA BALESTIER,1.32497382746308,103.851426970348,352 BALESTIER ROAD SHAW PLAZA - TWIN HEIGHTS SINGAPORE 329780
ZHONGSHAN MALL,1.32694504456951,103.846554377679,20 AH HOOD ROAD ZHONGSHAN MALL
THE POIZ CENTRE,1.33149708073624,103.86821402533,51 UPPER SERANGOON ROAD THE POIZ CENTRE SINGAPORE 347697
THE VENUE SHOPPES,1.32879797339654,103.869271361818,2 TAI THONG CRESCENT THE VENUE SHOPPES SINGAPORE 347836
THE CLEMENTI MALL,1.31489619639366,103.764423054189,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588
321 CLEMENTI,1.31200212030821,103.764986676365,321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905
RIVERVALE MALL,1.39219777838449,103.904471600025,11 RIVERVALE CRESCENT RIVERVALE MALL SINGAPORE 545082
RIVERVALE PLAZA,1.38533736107771,103.901841044122,118 RIVERVALE DRIVE RIVERVALE PLAZA SINGAPORE 540118
BUANGKOK SQUARE,1.38433426615655,103.881623070164,991 BUANGKOK LINK BUANGKOK SQUARE SINGAPORE 530991
KANG KAR MALL,1.37173508334316,103.894234783936,100 HOUGANG AVENUE 10 KANG KAR MALL SINGAPORE 538767
KENSINGTON SQUARE,1.34560719747232,103.882695128109,2 JALAN LOKAM KENSINGTON SQUARE SINGAPORE 537846
PLQ MALL,1.31756115921,103.892836694432,10 PAYA LEBAR ROAD PLQ MALL SINGAPORE 409057
SINGPOST CENTRE,1.31899666903663,103.894894915962,10 EUNOS ROAD 8 SINGAPORE POST CENTRE SINGAPORE 408600
KINEX SINGAPORE,1.31461849889242,103.894738004768,11 TANJONG KATONG ROAD KINEX SINGAPORE 437157
PAYA LEBAR SQUARE,1.31881487007651,103.892580778514,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051
JOO CHIAT COMPLEX,1.31587653400999,103.898378099316,1 JOO CHIAT ROAD JOO CHIAT COMPLEX SINGAPORE 420001
TEKKA CENTRE,1.30624722914968,103.849956033902,662 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210662
MUSTAFA CENTRE,1.31011213190394,103.855290873926,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704
ALBERT MALL,1.29966016502847,103.853518084567,QUEEN STREET ALBERT MALL TRISHAW PARK
BURLINGTON SQUARE,1.30224327074302,103.85270021499,175 BENCOOLEN STREET BURLINGTON SQUARE SINGAPORE 189649
CONCORDE HOTEL AND SHOPPING MALL,1.30061437384276,103.842228045431,100 ORCHARD ROAD CONCORDE HOTEL AND SHOPPING MALL SINGAPORE 238840
TAN BOON LIAT BUILDING,1.28750746721492,103.834045843779,315 OUTRAM ROAD TAN BOON LIAT BUILDING SINGAPORE 169074
100 AM MALL,1.27458821795426,103.84347073661,100 TRAS STREET 100 AM
I12 KATONG,1.308174111151,103.922605715552,I12 (TAXI STAND)
VISTA POINT SEMBAWANG,1.43089714603015,103.793927429476,548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548
JUNCTION 10 CHOA CHU KANG,1.38033681049385,103.760167883439,1 WOODLANDS ROAD JUNCTION 10 SINGAPORE 677899
APERIA MALL,1.31086672816827,103.863929573292,8 KALLANG AVENUE APERIA SINGAPORE 339509
ONE KM MALL,1.31474238838871,103.8945518516,11 TANJONG KATONG ROAD DNC (EDUCATION) PTE. LTD.
