name,lat,lng,address,postal_code,type
KRANJI PRIMARY SCHOOL,1.39356050497104,103.747362720939,11 CHOA CHU KANG STREET 54,689189,PRIMARY
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.34939813669536,103.855018233311,8 BISHAN STREET 13,579793,PRIMARY
LAKESIDE PRIMARY SCHOOL,1.33820397704287,103.718089546664,161 Corporation Walk,618310,PRIMARY
LIANHUA PRIMARY SCHOOL,1.35424191127295,103.754165828711,2 BUKIT BATOK STREET 52,659243,PRIMARY
MAHA BODHI SCHOOL,1.32858023873554,103.901306904157,10 UBI AVENUE 1,408931,PRIMARY
MARSILING PRIMARY SCHOOL,1.43383904037059,103.773643013846,31 WOODLANDS CENTRE ROAD,738927,PRIMARY
MARYMOUNT CONVENT SCHOOL,1.34043840661368,103.839811736775,20 Marymount Road,297754,PRIMARY
MAYFLOWER PRIMARY SCHOOL,1.37637683547682,103.843252803742,200 Ang Mo Kio Avenue 5,569878,PRIMARY
MEE TOH SCHOOL,1.39485356081865,103.90857257736,21 EDGEDALE PLAINS,828867,PRIMARY
MERIDIAN PRIMARY SCHOOL,1.37550677054835,103.934953276155,20 PASIR RIS ST 71,518798,PRIMARY
METHODIST GIRLS' SCHOOL (PRIMARY),1.33266213599636,103.783382114018,11 Blackmore Drive,599986,PRIMARY
MONTFORT JUNIOR SCHOOL,1.37362445234082,103.889741457901,52 HOUGANG AVENUE 8,538786,PRIMARY
NAN CHIAU PRIMARY SCHOOL,1.39221149906592,103.891180928186,50 ANCHORVALE LINK,545080,PRIMARY
NAN HUA PRIMARY SCHOOL,1.31920159956387,103.761095065761,30 Jalan Lempeng,128806,PRIMARY
NANYANG PRIMARY SCHOOL,1.32107094241153,103.807681852799,52 KING'S ROAD,268097,PRIMARY
NAVAL BASE PRIMARY SCHOOL,1.41590195697649,103.839100590207,7 YISHUN AVE 4,769028,PRIMARY
NEW TOWN PRIMARY SCHOOL,1.29981138884057,103.799964819895,300 Tanglin Halt Road,148812,PRIMARY
NGEE ANN PRIMARY SCHOOL,1.30553224180437,103.917570005713,344 MARINE TERRACE,449149,PRIMARY
NORTH SPRING PRIMARY SCHOOL,1.38706146494859,103.903202683028,1 RIVERVALE STREET,545088,PRIMARY
NORTH VIEW PRIMARY SCHOOL,1.42745159462566,103.848378442893,210 YISHUN AVENUE 6,768960,PRIMARY
NORTH VISTA PRIMARY SCHOOL,1.38255066171151,103.89626457548,20 Compassvale Link,544974,PRIMARY
NORTHLAND PRIMARY SCHOOL,1.42130404159807,103.840792923345,15 YISHUN AVENUE 4,769026,PRIMARY
NORTHOAKS PRIMARY SCHOOL,1.45732867302094,103.814075611175,61 Sembawang Drive,757622,PRIMARY
NORTHSHORE PRIMARY SCHOOL,1.41842322079348,103.905147201163,30 Northshore Drive,828671,PRIMARY
OASIS PRIMARY SCHOOL,1.40507184758584,103.911200193835,71 Edgefield Plains,828716,PRIMARY
OPERA ESTATE PRIMARY SCHOOL,1.31996876377748,103.923752668632,48 FIDELIO STREET,458436,PRIMARY
PALM VIEW PRIMARY SCHOOL,1.38376923022123,103.891354675017,150 Compassvale Bow,544822,PRIMARY
PARK VIEW PRIMARY SCHOOL,1.37801687647812,103.9392021807,60 PASIR RIS DRIVE 1,519524,PRIMARY
PASIR RIS PRIMARY SCHOOL,1.37245132722087,103.962922699031,5 PASIR RIS STREET 21,518968,PRIMARY
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.3502545600894,103.884846876112,298 LORONG AH SOO,536741,PRIMARY
PEI CHUN PUBLIC SCHOOL,1.33677864390672,103.855341310212,16 LORONG 7 TOA PAYOH,319320,PRIMARY
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.33807302121151,103.776250903095,7 PEI WAH AVENUE,597610,PRIMARY
PEI TONG PRIMARY SCHOOL,1.31666529308968,103.767438999533,15 CLEMENTI AVENUE 5,129857,PRIMARY
PEIYING PRIMARY SCHOOL,1.41741627551251,103.830143209875,651 YISHUN RING ROAD,768687,PRIMARY
PIONEER PRIMARY SCHOOL,1.35442592930738,103.732790920197,80 TENGAH GARDEN AVENUE,699915,PRIMARY
POI CHING SCHOOL,1.35765121877679,103.935246486174,21 TAMPINES STREET 71,529067,PRIMARY
PRINCESS ELIZABETH PRIMARY SCHOOL,1.34919098857585,103.740719208011,30 BUKIT BATOK WEST AVENUE 3,659163,PRIMARY
PUNGGOL COVE PRIMARY SCHOOL,1.41158455562454,103.89890448429,52 Sumang Walk,828674,PRIMARY
PUNGGOL GREEN PRIMARY SCHOOL,1.40172590450528,103.898794262307,98 Punggol Walk,828772,PRIMARY
PUNGGOL PRIMARY SCHOOL,1.37820062547641,103.894667159512,61 HOUGANG AVENUE 8,538787,PRIMARY
PUNGGOL VIEW PRIMARY SCHOOL,1.40505250226058,103.905299026568,9 Punggol Place,828845,PRIMARY
QIFA PRIMARY SCHOOL,1.3132658326807,103.756629101811,50 WEST COAST AVENUE,128104,PRIMARY
QIHUA PRIMARY SCHOOL,1.44203596557592,103.788339762066,5 WOODLANDS STREET 81,738525,PRIMARY
QUEENSTOWN PRIMARY SCHOOL,1.29552905587752,103.807648475656,310 MARGARET DR,149303,PRIMARY
RADIN MAS PRIMARY SCHOOL,1.27489701529771,103.824115781658,1 BUKIT PURMEI AVENUE,099840,PRIMARY
RAFFLES GIRLS' PRIMARY SCHOOL,1.33004178068277,103.806397828938,21 Hillcrest Road,289072,PRIMARY
RED SWASTIKA SCHOOL,1.33405659580859,103.934317528484,350 BEDOK NORTH AVENUE 3,469719,PRIMARY
RIVER VALLEY PRIMARY SCHOOL,1.29418347842837,103.836018941571,2 RIVER VALLEY GREEN,237993,PRIMARY
RIVERSIDE PRIMARY SCHOOL,1.44700426493785,103.801889031334,110 Woodlands Crescent,737803,PRIMARY
RIVERVALE PRIMARY SCHOOL,1.39333506298213,103.904545253288,80 RIVERVALE DRIVE,545092,PRIMARY
ROSYTH SCHOOL,1.3728583654058,103.87477170399,21 Serangoon North Avenue 4,555855,PRIMARY
RULANG PRIMARY SCHOOL,1.34673868889096,103.718457955487,6 JURONG WEST STREET 52,649295,PRIMARY
SEMBAWANG PRIMARY SCHOOL,1.4457453096024,103.821152676215,10 SEMBAWANG DRIVE,757715,PRIMARY
SENG KANG PRIMARY SCHOOL,1.38925044778224,103.899527879229,21 COMPASSVALE WALK,545166,PRIMARY
SENGKANG GREEN PRIMARY SCHOOL,1.3925400930811,103.874984869551,15 Fernvale Road,797636,PRIMARY
SHUQUN PRIMARY SCHOOL,1.34686967259067,103.721559387203,8 JURONG WEST STREET 51,649332,PRIMARY
