name,lat,lng,type,address,postal_code
CHANGI AIRPORT MRT STATION (CG2),1.357479,103.987884,MRT,70 AIRPORT BOULEVARD CHANGI AIRPORT MRT STATION (CG2) SINGAPORE 819661,819661
HARBOURFRONT MRT STATION,1.265311,103.820557,MRT,81 TELOK BLANGAH ROAD HARBOURFRONT MRT STATION,NIL
TELOK BLANGAH MRT STATION (CC28),1.270706,103.809762,MRT,463 TELOK BLANGAH ROAD TELOK BLANGAH MRT STATION (CC28) SINGAPORE 109028,109028
LABRADOR PARK MRT STATION,1.272368,103.803416,MRT,701 TELOK BLANGAH ROAD LABRADOR PARK MRT STATION,NIL
PASIR PANJANG MRT STATION (CC26),1.276214,103.79135,MRT,119 PASIR PANJANG ROAD PASIR PANJANG MRT STATION (CC26) SINGAPORE 117424,117424
HAW PAR VILLA MRT STATION,1.281957,103.781989,MRT,270 PASIR PANJANG ROAD HAW PAR VILLA MRT STATION,NIL
KENT RIDGE MRT STATION (CC24),1.293533,103.784573,MRT,301 SOUTH BUONA VISTA ROAD KENT RIDGE MRT STATION (CC24) SINGAPORE 118177,118177
ONE-NORTH MRT STATION (CC23),1.29976,103.787458,MRT,9 AYER RAJAH AVENUE ONE-NORTH MRT STATION (CC23) SINGAPORE 138647,138647
HOLLAND VILLAGE MRT STATION (CC21),1.31224,103.796399,MRT,200 HOLLAND AVENUE HOLLAND VILLAGE MRT STATION (CC21) SINGAPORE 278995,278995
FARRER ROAD MRT STATION (CC20),1.317439,103.807379,MRT,71 FARRER ROAD FARRER ROAD MRT STATION (CC20) SINGAPORE 268857,268857
BOTANIC GARDENS MRT STATION,1.322387,103.815385,MRT,100 CLUNY PARK ROAD BOTANIC GARDENS MRT STATION,NIL
STEVENS MRT STATION (DT10),1.320066,103.826024,MRT,92 STEVENS ROAD STEVENS MRT STATION (DT10) SINGAPORE 257877,257877
CALDECOTT MRT STATION,1.337347,103.839544,MRT,38 TOA PAYOH RISE CALDECOTT MRT STATION,NIL
MARYMOUNT MRT STATION (CC16),1.348707,103.839423,MRT,60 MARYMOUNT ROAD MARYMOUNT MRT STATION (CC16) SINGAPORE 573993,573993
LORONG CHUAN MRT STATION,1.351531,103.864812,MRT,150 SERANGOON AVENUE 3 LORONG CHUAN MRT STATION,NIL
SERANGOON MRT STATION (CC13),1.350634,103.872772,MRT,21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082,556082
BARTLEY MRT STATION,1.342445,103.880197,MRT,90 BARTLEY ROAD BARTLEY MRT STATION,NIL
TAI SENG MRT STATION (CC11),1.335142,103.888389,MRT,33 UPPER PAYA LEBAR ROAD TAI SENG MRT STATION (CC11) SINGAPORE 534803,534803
MACPHERSON MRT STATION,1.32684,103.890008,MRT,171 PAYA LEBAR ROAD MACPHERSON MRT STATION,NIL
